文件名,参考文本,识别结果,CER(%),错误数,总字符数,严重程度
"DF0001_0044.wav","灵犀灵犀","灵犀灵犀。",0,0,4,"轻度 / 正常"
"DF0001_0045.wav","灵犀灵犀","0107。",100,4,4,"重度"
"DF0001_0046.wav","小冰小冰","想必想必。",100,4,4,"重度"
"DF0001_0047.wav","小冰小冰","小兵小兵。",50,2,4,"重度"
"DF0001_0048.wav","小冰小冰","小兵小兵。",50,2,4,"重度"
"DF0001_0049.wav","小冰小冰","小兵小兵。",50,2,4,"重度"
"DF0001_0050.wav","小冰小冰","小兵小兵。",50,2,4,"重度"
"DF0001_0051.wav","打开空调","打开空调。",0,0,4,"轻度 / 正常"
"DF0001_0052.wav","打开空调","打开空调。",0,0,4,"轻度 / 正常"
"DF0001_0053.wav","打开空调","打开空调。",0,0,4,"轻度 / 正常"
"DF0001_0054.wav","关闭空调","关闭空调。",0,0,4,"轻度 / 正常"
"DF0001_0055.wav","关闭空调","关闭空调。",0,0,4,"轻度 / 正常"
"DF0001_0056.wav","关闭空调","关闭空调。",0,0,4,"轻度 / 正常"
"DF0001_0057.wav","开灯","开灯。",0,0,2,"轻度 / 正常"
"DF0001_0058.wav","开灯","开灯。",0,0,2,"轻度 / 正常"
"DF0001_0059.wav","开灯","开灯。",0,0,2,"轻度 / 正常"
"DF0001_0060.wav","关灯","我等，",100,2,2,"重度"
"DF0001_0061.wav","关灯","关灯。",0,0,2,"轻度 / 正常"
"DF0001_0062.wav","关灯","关灯。",0,0,2,"轻度 / 正常"
"DF0001_0063.wav","拉开窗帘","拉开窗帘。",0,0,4,"轻度 / 正常"
"DF0001_0064.wav","拉开窗帘","老K窗帘。",50,2,4,"重度"
"DF0001_0065.wav","拉开窗帘","拉开窗帘。",0,0,4,"轻度 / 正常"
"DF0001_0066.wav","关闭窗帘","关闭窗帘。",0,0,4,"轻度 / 正常"
"DF0001_0067.wav","关闭窗帘","关闭窗帘。",0,0,4,"轻度 / 正常"
"DF0001_0068.wav","关闭窗帘","关闭窗帘。",0,0,4,"轻度 / 正常"
"DF0001_0069.wav","全部打开","全部打开。",0,0,4,"轻度 / 正常"
"DF0001_0070.wav","全部打开","全部打开。",0,0,4,"轻度 / 正常"
"DF0001_0071.wav","全部打开","全部打开。",0,0,4,"轻度 / 正常"
"DF0001_0072.wav","全部关闭","全部关闭。",0,0,4,"轻度 / 正常"
"DF0001_0073.wav","全部关闭","全部关闭。",0,0,4,"轻度 / 正常"
"DF0001_0074.wav","全部关闭","全部关闭。",0,0,4,"轻度 / 正常"
"DF0001_0075.wav","重新开始","重新开始。",0,0,4,"轻度 / 正常"
"DF0001_0076.wav","重新开始","重新开始。",0,0,4,"轻度 / 正常"
"DF0001_0077.wav","重新开始","重新开始。",0,0,4,"轻度 / 正常"
"DF0001_0078.wav","播放上一首","播放上一首。",0,0,5,"轻度 / 正常"
"DF0001_0079.wav","播放上一首","播放上一首。",0,0,5,"轻度 / 正常"
"DF0001_0080.wav","播放上一首","播放上一首。",0,0,5,"轻度 / 正常"
"DF0001_0081.wav","播放下一首","播放下一首。",0,0,5,"轻度 / 正常"
"DF0001_0082.wav","播放下一首","播放下一首。",0,0,5,"轻度 / 正常"
"DF0001_0083.wav","播放下一首","播放下一首。",0,0,5,"轻度 / 正常"
"DF0001_0084.wav","打开蓝牙","打开蓝牙。",0,0,4,"轻度 / 正常"
"DF0001_0085.wav","打开蓝牙","打开蓝牙。",0,0,4,"轻度 / 正常"
"DF0001_0086.wav","打开蓝牙","打开蓝牙。",0,0,4,"轻度 / 正常"
"DF0001_0087.wav","替我取消暂停","替我取消暂停。",0,0,6,"轻度 / 正常"
"DF0001_0088.wav","替我取消暂停","替我取消暂停。",0,0,6,"轻度 / 正常"
"DF0001_0089.wav","替我取消暂停","替我取消暂停。",0,0,6,"轻度 / 正常"
"DF0001_0090.wav","帮忙暂停","帮忙暂停。",0,0,4,"轻度 / 正常"
"DF0001_0091.wav","帮忙暂停","帮忙暂停。",0,0,4,"轻度 / 正常"
"DF0001_0092.wav","帮忙暂停","帮忙暂停。",0,0,4,"轻度 / 正常"
"DF0001_0093.wav","打开后一集","打开后一集。",0,0,5,"轻度 / 正常"
"DF0001_0094.wav","打开后一集","打开后一集。",0,0,5,"轻度 / 正常"
"DF0001_0095.wav","打开后一集","打开后一集。",0,0,5,"轻度 / 正常"
"DF0001_0096.wav","降低音量","降低音量。",0,0,4,"轻度 / 正常"
"DF0001_0097.wav","降低音量","降低音量。",0,0,4,"轻度 / 正常"
"DF0001_0098.wav","降低音量","降低音量。",0,0,4,"轻度 / 正常"
"DF0001_0099.wav","打开上一集","打开上一集。",0,0,5,"轻度 / 正常"
"DF0001_0100.wav","打开上一集","打开上一集。",0,0,5,"轻度 / 正常"
"DF0001_0101.wav","打开上一集","打开上一集。",0,0,5,"轻度 / 正常"
"DF0001_0102.wav","开启省电","开启省电。",0,0,4,"轻度 / 正常"
"DF0001_0103.wav","开启省电","开启省电。",0,0,4,"轻度 / 正常"
"DF0001_0104.wav","开启省电","开启省电。",0,0,4,"轻度 / 正常"
"DF0001_0105.wav","音量调大","音量调大。",0,0,4,"轻度 / 正常"
"DF0001_0106.wav","音量调大","音量调大。",0,0,4,"轻度 / 正常"
"DF0001_0107.wav","音量调大","音量调大。",0,0,4,"轻度 / 正常"
"DF0001_0108.wav","调到下一频道","调到电影频道。",33.33,2,6,"重度"
"DF0001_0109.wav","调到下一频道","调到下一频道。",0,0,6,"轻度 / 正常"
"DF0001_0110.wav","调到下一频道","调整下一频道。",16.67,1,6,"中度"
"DF0001_0111.wav","变温温度设为负四度档","变温温度设为负四度档。",0,0,10,"轻度 / 正常"
"DF0001_0112.wav","温度调高到二十一度","温度调高到21度。",33.33,3,9,"重度"
"DF0001_0113.wav","变温室温度设定负两摄氏度档","变温室温度设定负两摄氏度档。",0,0,13,"轻度 / 正常"
"DF0001_0114.wav","烦请调到空调温度到二十","烦请调到空调温度到二十。",0,0,11,"轻度 / 正常"
"DF0001_0115.wav","变温室温度设为负十二摄氏度","变温室温度设为负十二摄氏度。",0,0,13,"轻度 / 正常"
"DF0001_0116.wav","降低六度","降低六度。",0,0,4,"轻度 / 正常"
"DF0001_0117.wav","变温温度调至零下五摄氏度档","变温温度调至零下五摄氏度档。",0,0,13,"轻度 / 正常"
"DF0001_0118.wav","变温温度设定零下五摄氏度档","变温温度设定零下5摄氏度档。",7.69,1,13,"轻度 / 正常"
"DF0001_0119.wav","变温室温度设定负十六度档","变温室温度设定-16度档。",25,3,12,"中度"
"DF0001_0120.wav","变温温度设定零下十一度档","变温温度设定零下十一度档。",0,0,12,"轻度 / 正常"
"DF0001_0121.wav","打开制冷","打开制冷。",0,0,4,"轻度 / 正常"
"DF0001_0122.wav","把温度增强到二十九","把温度增强到29。",33.33,3,9,"重度"
"DF0001_0123.wav","变温温度设为零下十一度档","变温温度设为零下十一度档。",0,0,12,"轻度 / 正常"
"DF0001_0124.wav","给我把空调温度切换成十六","给我把空调温度切换成十六。",0,0,12,"轻度 / 正常"
"DF0001_0125.wav","现在温度是多少","现在温度是多少？",0,0,7,"轻度 / 正常"
"DF0001_0126.wav","微蒸烤一体机启动烧烤中火","微蒸控一体机启动烧烤中火。",8.33,1,12,"轻度 / 正常"
"DF0001_0127.wav","冷冻温度设定负二十二度档","冷冻温度设定负二十二度档。",0,0,12,"轻度 / 正常"
"DF0001_0128.wav","烦请把温度切到三十度","烦请把温度切到三十度。",0,0,10,"轻度 / 正常"
"DF0001_0129.wav","温度调为二十五","温度调为25。",42.86,3,7,"重度"
"DF0001_0130.wav","设定二十三度","设定23度。",50,3,6,"重度"
"DF0001_0131.wav","冷藏温度设为六摄氏度档","冷藏温度设为六摄氏度档。",0,0,11,"轻度 / 正常"
"DF0001_0132.wav","赶紧把温度提高到二十一","赶紧把温度提高到21。",27.27,3,11,"中度"
"DF0001_0133.wav","请关闭主卧灯","请关闭主卧灯。",0,0,6,"轻度 / 正常"
"DF0001_0134.wav","变温室温度设为零下四度档","变温室温度设为零下四度档。",0,0,12,"轻度 / 正常"
"DF0001_0135.wav","冷藏温度设为两度档","冷藏温度设为两度档。",0,0,9,"轻度 / 正常"
"DF0001_0136.wav","变温室温度设定负十八度","变温室温度设定负十八度。",0,0,11,"轻度 / 正常"
"DF0001_0137.wav","烦请把空调温度调整到十七","烦请把空调温度调整到十七。",0,0,12,"轻度 / 正常"
"DF0001_0138.wav","冷冻温度调至零下十五摄氏度档","冷冻温度调至零下十五摄氏度档。",0,0,14,"轻度 / 正常"
"DF0001_0139.wav","麻烦帮我把温度调成三十度","麻烦帮我把温度调成三十度。",0,0,12,"轻度 / 正常"
"DF0001_0140.wav","变温室温度设为负十三度档","变温室温度设为负13度档。",16.67,2,12,"中度"
"DF0001_0141.wav","变温室温度设为零下六度","变温室温度设为零下六度。",0,0,11,"轻度 / 正常"
"DF0001_0142.wav","变温温度设为负一摄氏度","变温温度设为负一摄氏度。",0,0,11,"轻度 / 正常"
"DF0001_0143.wav","升八度","升八度。",0,0,3,"轻度 / 正常"
"DF0001_0144.wav","变温温度调至零下九度档","变温温度调至零下九度档。",0,0,11,"轻度 / 正常"
"DF0001_0145.wav","帮我把温度调大到三十度","帮我把温度调大到三十度。",0,0,11,"轻度 / 正常"
"DF0001_0146.wav","赶紧把空调温度调到十六度","赶紧把空调温度调到十六度。",0,0,12,"轻度 / 正常"
"DF0001_0147.wav","冷冻温度设为零下十八度档","冷冻温度设为零下十八度档。",0,0,12,"轻度 / 正常"
"DF0001_0148.wav","变温室温度调至负九摄氏度档","变温室温度调至负九摄氏度档。",0,0,13,"轻度 / 正常"
"DF0001_0149.wav","烦请把温度设置成二十九度","烦请把温度设置成29度。",25,3,12,"中度"
"DF0001_0150.wav","麻烦帮我把空调温度切换到二十六度","麻烦帮我把空调温度切换到26度。",18.75,3,16,"中度"
"DF0001_0151.wav","把空调温度调为二十二度","把空调温度调为二十二度。",0,0,11,"轻度 / 正常"
"DF0001_0152.wav","温度增大为二十九","温度增大为29。",37.5,3,8,"重度"
"DF0001_0153.wav","变温室设为保鲜","变温室设为保鲜。",0,0,7,"轻度 / 正常"
"DF0001_0154.wav","烦请把温度调整到二十四度","烦请把温度调整到24度。",25,3,12,"中度"
"DF0001_0155.wav","变温室温度调至零下十五摄氏度","变温室温度调至零下15摄氏度。",14.29,2,14,"中度"
"DF0001_0156.wav","变温室温度设为零度","变温室温度设为零度。",0,0,9,"轻度 / 正常"
"DF0001_0157.wav","冷冻温度设定零下十九度档","冷冻温度设定零下十九度档。",0,0,12,"轻度 / 正常"
"DF0001_0158.wav","温度调低到二十四","温度调低到24。",37.5,3,8,"重度"
"DF0001_0159.wav","变温室温度设定零下七摄氏度档","变温室温度设定零下七摄氏度档。",0,0,14,"轻度 / 正常"
"DF0001_0160.wav","变温温度调至零度档","变温温度调至零度档。",0,0,9,"轻度 / 正常"
"DF0001_0161.wav","变温温度设为五度档","变温温度设为五度档。",0,0,9,"轻度 / 正常"
"DF0001_0162.wav","烦请把空调温度调成二十二","烦请把空调温度调成二十二。",0,0,12,"轻度 / 正常"
"DF0001_0163.wav","变温室温度设为负十二摄氏度档","变温室温度设为负十二摄氏度档。",0,0,14,"轻度 / 正常"
"DF0001_0164.wav","变温温度设定负五度","变温温度设定负五度。",0,0,9,"轻度 / 正常"
"DF0001_0165.wav","加热模式","加热模式。",0,0,4,"轻度 / 正常"
"DF0001_0166.wav","变温室温度设定零下一度档","变温室温度设定零下一度档。",0,0,12,"轻度 / 正常"
"DF0001_0167.wav","变温调至五度档","变温调至五度档。",0,0,7,"轻度 / 正常"
"DF0001_0168.wav","变温室温度设为零下十五度","变温室温度设为零下十五度。",0,0,12,"轻度 / 正常"
"DF0001_0169.wav","开屏显","开瓶器。",66.67,2,3,"重度"
"DF0001_0170.wav","变温室温度设定零下十六度","变温室温度设定零下十六度。",0,0,12,"轻度 / 正常"
"DF0001_0171.wav","把空调温度加大为十九度","把空调温度加大为十九度。",0,0,11,"轻度 / 正常"
"DF0001_0172.wav","变温室温度设为零下十四度档","变温室温度设为零下十四度档。",0,0,13,"轻度 / 正常"
"DF0001_0173.wav","变温室温度设为零下八度","变温室温度设为零下八度。",0,0,11,"轻度 / 正常"
"DF0001_0174.wav","变温温度调至零下四摄氏度档","变温温度调至零下四摄氏度档。",0,0,13,"轻度 / 正常"
"DF0001_0175.wav","冷冻温度设定负二十一摄氏度档","冷冻温度设定-21摄氏度档。",28.57,4,14,"中度"
"DF0001_0176.wav","定时开","定时开。",0,0,3,"轻度 / 正常"
"DF0001_0177.wav","我需要把空调温度调到二十三","我需要把空调温度调到23。",23.08,3,13,"中度"
"DF0001_0178.wav","冷冻温度设定零下二十度档","冷冻温度设定零下二十度档。",0,0,12,"轻度 / 正常"
"DF0001_0179.wav","变温温度调至负十三度","变温温度调至负十三度。",0,0,10,"轻度 / 正常"
"DF0001_0180.wav","变温室温度设定三摄氏度档","变温室温度设定三摄氏度档。",0,0,12,"轻度 / 正常"
"DF0001_0181.wav","冷冻温度调至负二十度","冷冻温度调至负二十度。",0,0,10,"轻度 / 正常"
"DF0001_0182.wav","制热开","制热开。",0,0,3,"轻度 / 正常"
"DF0001_0183.wav","低速风","低速风。",0,0,3,"轻度 / 正常"
"DF0001_0184.wav","把温度增强为三十度","把温度增强为三十度。",0,0,9,"轻度 / 正常"
"DF0001_0185.wav","帮我把空调温度调大到二十八度","帮我把空调温度调大到28度。",21.43,3,14,"中度"
"DF0001_0186.wav","麻烦帮我把空调温度调大到二十九","麻烦帮我把空调温度调大到29。",20,3,15,"中度"
"DF0001_0187.wav","变温设为两度","变温设为两度。",0,0,6,"轻度 / 正常"
"DF0001_0188.wav","冷藏温度调至两摄氏度档","冷藏温度调至两摄氏度档。",0,0,11,"轻度 / 正常"
"DF0001_0189.wav","变温温度调至负四摄氏度","变温温度调至-4摄氏度。",18.18,2,11,"中度"
"DF0001_0190.wav","给我把温度调高到二十一","给我把温度调高到二十一。",0,0,11,"轻度 / 正常"
"DF0001_0191.wav","温度增强为二十九","温度增强为29。",37.5,3,8,"重度"
"DF0001_0192.wav","把空调温度设成十六度","把空调温度设成十六度。",0,0,10,"轻度 / 正常"
"DF0001_0193.wav","变温室温度设定负九摄氏度","变温室温度设定负九摄氏度。",0,0,12,"轻度 / 正常"
"DF0001_0194.wav","给我把温度切换到二十八度","给我把温度切换到28度。",25,3,12,"中度"
"DF0001_0195.wav","目前空调模式是什么","目前空调模式是什么？",0,0,9,"轻度 / 正常"
"DF0001_0196.wav","空调温度增加到二十九","空调温度增强到29。",40,4,10,"重度"
"DF0001_0197.wav","把空调温度调大到二十四度","把空调温度调大到二十四度。",0,0,12,"轻度 / 正常"
"DF0001_0198.wav","加四度","家世不。",100,3,3,"重度"
"DF0001_0199.wav","变温室温度调至零下两度","变温室温度调至零下两度。",0,0,11,"轻度 / 正常"
"DF0001_0200.wav","变温室温度设定负五摄氏度档","变温室温度设定-5摄氏度档。",15.38,2,13,"中度"
"DF0001_0201.wav","风随人动","风随人动。",0,0,4,"轻度 / 正常"
"DF0001_0202.wav","冷藏温度设为六度","冷藏温度设为六度。",0,0,8,"轻度 / 正常"
"DF0001_0203.wav","烦请把温度调到二十","烦请把温度调到二十。",0,0,9,"轻度 / 正常"
"DF0001_0204.wav","我需要把温度设成二十四","我需要把温度设成24。",27.27,3,11,"中度"
"DF0001_0205.wav","变温温度设为零下十三度","变温温度设为零下十三度。",0,0,11,"轻度 / 正常"
"DF0001_0206.wav","变温室温度调至负十四度","变温室温度调至负十四度。",0,0,11,"轻度 / 正常"
"DF0001_0207.wav","赶紧把温度调大到十七度","赶紧把温度调大到十七度。",0,0,11,"轻度 / 正常"
"DF0001_0208.wav","变温室温度设定负十度档","变温室温度设定负十度档。",0,0,11,"轻度 / 正常"
"DF0001_0209.wav","温度增大到三十","温度增大到三十。",0,0,7,"轻度 / 正常"
"DF0001_0210.wav","冷藏变温设定冰镇","冷藏变温设定冰镇。",0,0,8,"轻度 / 正常"
"DF0001_0211.wav","音量调小","音量调小。",0,0,4,"轻度 / 正常"
"DF0001_0212.wav","帮我音量太小","帮我音量开小。",16.67,1,6,"中度"
"DF0001_0213.wav","给我声音放大","给我声音放大。",0,0,6,"轻度 / 正常"
"DF0001_0214.wav","音量调小点","音量调小点。",0,0,5,"轻度 / 正常"
"DF0001_0215.wav","降低电视屏显亮度","降低电视屏显亮度。",0,0,8,"轻度 / 正常"
"DF0001_0216.wav","帮我音量减小","帮忙音量减小。",16.67,1,6,"中度"
"DF0001_0217.wav","取消暂停","取消暂停。",0,0,4,"轻度 / 正常"
"DF0001_0218.wav","调高音量","调高音量。",0,0,4,"轻度 / 正常"
"DF0001_0219.wav","给我随机播放","给我随机播放。",0,0,6,"轻度 / 正常"
"DF0001_0220.wav","音量调小一点","音量调小一点。",0,0,6,"轻度 / 正常"
"DF0001_0221.wav","帮我取消暂停","帮我取消暂停。",0,0,6,"轻度 / 正常"
"DF0001_0222.wav","音量最大","音量最大。",0,0,4,"轻度 / 正常"
"DF0001_0223.wav","调大音量","调大音量。",0,0,4,"轻度 / 正常"
"DF0001_0224.wav","给我声音调大点","给我声音调亮点。",14.29,1,7,"中度"
"DF0001_0225.wav","给我声音增加","给我声音增加。",0,0,6,"轻度 / 正常"
"DF0001_0226.wav","音量减小点","音量减小点。",0,0,5,"轻度 / 正常"
"DF0001_0227.wav","帮我换一个歌","帮我换一个歌。",0,0,6,"轻度 / 正常"
"DF0001_0228.wav","给我声音稍微调小一点","给我声音稍微调小一点。",0,0,10,"轻度 / 正常"
"DF0001_0229.wav","帮我音量增加一点","帮我音量增加一点。",0,0,8,"轻度 / 正常"
"DF0001_0230.wav","WIFI关闭","Wifi关闭。",50,3,6,"重度"
"DF0001_0231.wav","调小声音","调小声音。",0,0,4,"轻度 / 正常"
"DF0001_0232.wav","帮我频道向下","帮我频道向下。",0,0,6,"轻度 / 正常"
"DF0001_0233.wav","帮我提示","帮我提示。",0,0,4,"轻度 / 正常"
"DF0001_0234.wav","帮我音量调大一点","帮我音量调大一点。",0,0,8,"轻度 / 正常"
"DF0001_0247.wav","帮我搜索","帮我搜索。",0,0,4,"轻度 / 正常"
"DF0001_0248.wav","给我声音增大","给我声音增大。",0,0,6,"轻度 / 正常"
"DF0001_0249.wav","帮我换歌曲","帮我换歌曲。",0,0,5,"轻度 / 正常"
"DF0001_0250.wav","放大声音","放大声音。",0,0,4,"轻度 / 正常"
"DF0001_0251.wav","给我音量再小点","给我音量再小点。",0,0,7,"轻度 / 正常"
"DF0001_0252.wav","音量稍微调小一点","音量稍微调小一点。",0,0,8,"轻度 / 正常"
"DF0001_0253.wav","给我声音小一点","给我声音小一点。",0,0,7,"轻度 / 正常"
"DF0001_0254.wav","调高电视音量","调高电视音量。",0,0,6,"轻度 / 正常"
"DF0001_0255.wav","帮我降低音量","帮我降低音量。",0,0,6,"轻度 / 正常"
"DF0001_0256.wav","帮我音量降低","帮我音量降低。",0,0,6,"轻度 / 正常"
"DF0001_0257.wav","降低声音","降低声音。",0,0,4,"轻度 / 正常"
"DF0001_0258.wav","给我声音太大","给我声音太大。",0,0,6,"轻度 / 正常"
"DF0001_0259.wav","帮我换一曲歌","帮我换一曲歌。",0,0,6,"轻度 / 正常"
"DF0001_0260.wav","帮我换一个电台","帮我换一个电台。",0,0,7,"轻度 / 正常"
"DF0001_0261.wav","音量减小","音量减小。",0,0,4,"轻度 / 正常"
"DF0001_0262.wav","给我声音调高点","给我声音调高点。",0,0,7,"轻度 / 正常"
"DF0001_0263.wav","暂停一会","暂停一会儿。",25,1,4,"中度"
"DF0001_0264.wav","帮我音量打开","帮我音量打开。",0,0,6,"轻度 / 正常"
"DF0001_0265.wav","帮我换一频道","帮我换一频道。",0,0,6,"轻度 / 正常"
"DF0001_0266.wav","给我声音调高一点","给我声音调高一点。",0,0,8,"轻度 / 正常"
"DF0001_0267.wav","帮我换一歌曲","帮我换一歌曲。",0,0,6,"轻度 / 正常"
"DF0001_0268.wav","音量放大一点","音量放大一点。",0,0,6,"轻度 / 正常"
"DF0001_0269.wav","帮我换曲歌","帮我换曲歌。",0,0,5,"轻度 / 正常"
"DF0001_0270.wav","播放音乐","播放音乐。",0,0,4,"轻度 / 正常"
"DF0001_0271.wav","音量减弱","音量减弱。",0,0,4,"轻度 / 正常"
"DF0001_0272.wav","给我搜索","给我搜索。",0,0,4,"轻度 / 正常"
"DF0001_0273.wav","音量增强点","音量增强点。",0,0,5,"轻度 / 正常"
"DF0001_0274.wav","给我声音稍微增强一点","给我声音稍微增强一点。",0,0,10,"轻度 / 正常"
"DF0001_0275.wav","帮我换歌","帮我换歌。",0,0,4,"轻度 / 正常"
"DF0001_0276.wav","帮我音量调小点","帮我音量调小点。",0,0,7,"轻度 / 正常"
"DF0001_0277.wav","降低电视机音量","降低电视机音量。",0,0,7,"轻度 / 正常"
"DF0001_0278.wav","音量降低","音量降低。",0,0,4,"轻度 / 正常"
"DF0001_0279.wav","帮我音量调大点","帮我音量调大点。",0,0,7,"轻度 / 正常"
"DF0001_0280.wav","给我声音加","给我声音加。",0,0,5,"轻度 / 正常"
"DF0001_0281.wav","调小音量","调小音量。",0,0,4,"轻度 / 正常"
"DF0001_0282.wav","减弱音量","减弱音量。",0,0,4,"轻度 / 正常"
"DF0001_0283.wav","音量增强一点","音量增强一点。",0,0,6,"轻度 / 正常"
"DF0001_0284.wav","帮我音量减弱","帮我音量减弱。",0,0,6,"轻度 / 正常"
"DF0001_0285.wav","帮我音量加","帮我音量加。",0,0,5,"轻度 / 正常"
"DF0001_0286.wav","帮我停止","帮我停止。",0,0,4,"轻度 / 正常"
"DF0001_0287.wav","给我声音调为最大","给我声音调为最大。",0,0,8,"轻度 / 正常"
"DF0001_0288.wav","帮我音量稍微大一点","帮我音量稍微大一点。",0,0,9,"轻度 / 正常"
"DF0001_0289.wav","音量减弱点","音量减弱点。",0,0,5,"轻度 / 正常"
"DF0001_0290.wav","帮我音量调到最小","帮我音量调到最小。",0,0,8,"轻度 / 正常"
"DF0001_0291.wav","音量太小","音量太小。",0,0,4,"轻度 / 正常"
"DF0001_0292.wav","对话聊天","对话聊天。",0,0,4,"轻度 / 正常"
"DF0001_0293.wav","给我声音调小点","给我声音调小点。",0,0,7,"轻度 / 正常"
"DF0001_0294.wav","音量稍微减小一点","音量稍微减小一点。",0,0,8,"轻度 / 正常"
"DF0001_0295.wav","给我声音增大点","给我声音增大点。",0,0,7,"轻度 / 正常"
"DF0001_0296.wav","帮我顺序循环","帮我顺序循环。",0,0,6,"轻度 / 正常"
"DF0001_0297.wav","帮我换个频道","帮我换个频道。",0,0,6,"轻度 / 正常"
"DF0001_0298.wav","帮我音量小点","帮我音量小点。",0,0,6,"轻度 / 正常"
"DF0001_0299.wav","音量再小点","音量再小点。",0,0,5,"轻度 / 正常"
"DF0001_0300.wav","帮我音量减弱一点","帮我音量减弱一点。",0,0,8,"轻度 / 正常"
"DF0001_0301.wav","调高电视屏显亮度","调高电视屏显亮度。",0,0,8,"轻度 / 正常"
"DF0001_0302.wav","帮我换一台","帮我换一台。",0,0,5,"轻度 / 正常"
"DF0001_0303.wav","再唱一遍","再唱一遍。",0,0,4,"轻度 / 正常"
"DF0001_0304.wav","音量太大","音量太大。",0,0,4,"轻度 / 正常"
"DF0001_0305.wav","给我声音增大一点","给我声音增大一点。",0,0,8,"轻度 / 正常"
"DF0001_0306.wav","音量调到最大","音量调到最大。",0,0,6,"轻度 / 正常"
"DF0001_0307.wav","帮我音量稍微降低一点","帮我音量稍微降低一点。",0,0,10,"轻度 / 正常"
"DF0001_0308.wav","帮我音量加大点","帮我音量调大点。",14.29,1,7,"中度"
"DF0001_0309.wav","给我声音最小","给我声音最小。",0,0,6,"轻度 / 正常"
"DF0001_0310.wav","帮我换首歌","帮我换首歌。",0,0,5,"轻度 / 正常"
"DF0001_0311.wav","三零七五九四","307594。",100,6,6,"重度"
"DF0001_0312.wav","三零七五九四","三棱七五表示。",50,3,6,"重度"
"DF0001_0313.wav","三零七五九四","三零七五九四。",0,0,6,"轻度 / 正常"
"DF0001_0314.wav","幺五六零四七","幺五六零四七。",0,0,6,"轻度 / 正常"
"DF0001_0315.wav","幺五六零四七","幺五六零四七。",0,0,6,"轻度 / 正常"
